User_Id,Place_Id,Place_Ratings,Tourguide_Id,Tourguide_Ratings
129,466,5,64,4
148,466,5,31,4
167,466,3,26,4
186,466,5,97,3
111,467,2,49,5
130,467,4,53,4
149,467,4,88,3
168,467,3,74,3
187,467,5,10,3
112,468,5,6,4
131,468,3,92,2
150,468,5,52,2
169,468,3,79,5
188,468,5,36,4
113,469,4,57,2
132,469,2,62,3
151,469,5,86,4
170,469,3,48,2
189,469,5,31,2
114,470,5,98,4
133,470,3,11,4
152,470,5,50,3
171,470,3,25,2
190,470,5,34,4
115,471,4,78,3
134,471,4,94,4
153,471,5,64,3
172,471,3,23,4
191,471,5,7,5
116,472,1,81,2
135,472,2,41,5
154,472,4,90,5
173,472,3,38,3
192,472,5,56,5
117,473,1,61,1
136,473,4,9,4
155,473,4,43,4
174,473,3,14,5
193,473,5,97,5
118,474,1,29,2
137,474,5,85,2
156,474,5,45,5
175,474,3,60,5
194,474,5,27,4
119,475,1,72,3
138,475,5,16,3
157,475,5,87,4
176,475,3,39,4
195,475,5,83,5
201,476,4,53,3
220,476,4,18,3
239,476,3,66,3
258,476,2,22,1
277,476,4,89,3
296,476,5,42,2
202,477,4,91,4
221,477,4,70,2
240,477,4,20,4
259,477,3,40,3
278,477,2,73,4
297,477,3,95,2
203,478,5,55,3
222,478,3,84,2
241,478,3,13,4
260,478,4,37,3
279,478,1,65,4
298,478,1,1,4
204,479,3,28,4
223,479,5,46,2
242,479,5,67,2
261,479,3,99,3
280,479,4,35,5
299,479,5,49,5
205,480,4,12,4
224,480,3,76,5
243,480,2,31,4
262,480,2,98,5
281,480,2,11,4
300,480,5,50,3
206,481,5,25,3
225,481,5,34,4
244,481,4,78,4
263,481,5,94,2
282,481,4,64,3
207,482,3,23,3
226,482,5,7,5
245,482,5,81,5
264,482,3,41,5
283,482,3,90,5
208,483,5,38,4
227,483,4,56,5
246,483,3,61,2
265,483,4,9,3
284,483,2,43,2
209,484,4,14,3
228,484,5,97,2
247,484,2,29,3
266,484,3,85,2
285,484,4,45,5
210,485,5,60,2
229,485,3,27,2
248,485,4,72,5
267,485,2,16,2
286,485,3,87,4
211,486,5,39,2
230,486,5,83,2
249,486,3,53,3
268,486,3,18,3
287,486,4,66,2
212,487,4,22,3
231,487,3,89,2
250,487,3,42,1
269,487,1,91,4
288,487,5,70,2
213,488,5,20,4
232,488,3,40,2
251,488,4,73,3
270,488,3,95,4
289,488,5,55,3
214,489,3,84,4
233,489,1,13,4
252,489,5,37,4
271,489,2,65,2
290,489,2,1,3
215,490,3,28,2
234,490,2,46,4
253,490,4,67,4
272,490,3,99,3
291,490,2,35,3
216,491,5,49,2
235,491,4,12,4
254,491,3,76,3
273,491,2,68,3
292,491,1,5,4
217,492,4,27,2
236,492,3,84,3
255,492,3,71,2
274,492,3,6,3
293,492,4,4,4
218,493,4,92,5
237,493,5,23,5
256,493,5,8,3
275,493,2,76,2
294,493,4,31,3
219,494,4,53,4
238,494,3,95,5
257,494,5,42,3
276,494,2,83,2
295,494,5,52,3
